token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
112,"(4, 1, 0)",15,0.0031036623215394167,0.16972888705347922,0.08714473155978462,0.2610012382430146,0.8192327438223799,0.9631966835449426,0.9989350120752325
113,"(4, 1, 1)",36,0.0074487895716946,0.16972888705347916,0.08714466366688639,0.26100093886544956,0.962677514826848,0.15129010349480482,0.9989287913674809
114,"(4, 2, 1)",3,0.0006207324643078833,0.9711525913689862,0.9021021481482463,5.148759009809494,0.9021021481482463,0.9021021481482463,0.9986534479422602
115,"(4, 2, 2)",4,0.0008276432857438444,0.9866233739417717,0.9461419996870664,6.3172719429316135,0.9461419996870664,0.9984511758753009,0.9461419996870664
116,"(4, 3, 0)",8,0.0016552865714876887,0.9926054098699155,0.9685866179914455,7.9825330156217404,0.9685866179914455,0.9685866179914455,0.9685866179914455
117,"(4, 4, 0)",1,0.0002069108214359611,0.9835292174272146,0.9365791904334375,5.995715741716117,0.9365791904334375,0.9365791904334375,0.9988193543993107
118,"(4, 4, 1)",6,0.0012414649286157666,0.9930179640718562,0.9678945898352266,7.365025349231651,0.9678945898352266,0.9987206797010176,0.9987152288455847
119,"(4, 8, 0)",1,0.0002069108214359611,0.9987937228990296,0.9928839112505623,12.218040726586345,0.9928839112505623,0.9928839112505623,0.9928839112505623
120,"(4, 21, 0)",2,0.0004138216428719222,0.9965246747883543,0.9817969196819001,8.636708019650952,0.9817969196819001,0.9817969196819001,0.9817969196819001
121,"(4, 31, 0)",3,0.0006207324643078833,0.9983811686970886,0.9905517449486707,10.634671972843137,0.9905517449486707,0.9905517449486707,0.9989875967076187
122,"(4, 32, 0)",3,0.0006207324643078833,0.9977623373941772,0.9874272634998881,9.635684401441326,0.9874272634998881,0.9874272634998881,0.9988630356703613
